zfin_id	gene_name	ensemble_id	uberon_annotations
zdb-gene-060526-274	slc4a4a	ensdarg00000013730	uberon_0000966,uberon_0000073,uberon_0008823,uberon_0000019
zdb-gene-030616-81	ncor2	ensdarg00000000966	uberon_0004573,uberon_0000481,uberon_0005805,uberon_0003473
zdb-gene-030131-7349	socs3a	ensdarg00000104400	uberon_0000477,uberon_0000480,uberon_2000940
zdb-gene-010724-18	apoea	ensdarg00000102004	uberon_0000468
zdb-gene-131127-227	birc6-as2	ensdarg00000097706	uberon_0000489,uberon_0000019,uberon_0002616,uberon_0000480,uberon_0005281,uberon_0006284,uberon_0000033,uberon_0002422
zdb-gene-070117-162	unm_ta85d	not_found	uberon_0001708,uberon_0000477,uberon_0008823,uberon_0000019,uberon_0000480,uberon_0005886,uberon_0005884,uberon_0008895,uberon_0004119
zdb-gene-070117-163	unm_m720	not_found	uberon_0000477,uberon_0001846,uberon_0002280,uberon_0000480,uberon_0001032,uberon_0000463
zdb-gene-070117-160	unm_tm267b	not_found	uberon_0007812,uberon_0000468
zdb-gene-070117-161	unm_tq221b	not_found	uberon_0000477,uberon_0000480,uberon_0000468,uberon_0003278,uberon_0004119
zdb-gene-070117-166	srt	not_found	uberon_0010313
zdb-gene-070117-167	unm_tt279c	not_found	uberon_0000477,uberon_0008823,uberon_0000019,uberon_0000480,uberon_0005884,uberon_0010313,uberon_0001016
zdb-gene-070117-164	unm_ts294b	not_found	uberon_0008897,uberon_0003102
zdb-gene-070117-165	unm_m569	not_found	uberon_2000318,uberon_0002309,uberon_0008823,uberon_0002028,uberon_0000480,uberon_0014649,uberon_0005281,uberon_0034763,uberon_0001016,uberon_0001017
zdb-gene-070117-168	unm_m393	not_found	uberon_0008823,uberon_0000019,uberon_0000073,uberon_0000480,uberon_0000966,uberon_0001032,uberon_0001016
zdb-gene-070117-169	unm_tc265b	not_found	uberon_0012275,uberon_0005598,uberon_0000468,uberon_0002328
zdb-gene-040426-971	snapc3	ensdarg00000101474	uberon_4000164
zdb-gene-030131-2403	zcchc11	ensdarg00000070271	uberon_0005598,uberon_0002407,uberon_0012275,uberon_0000042,uberon_0003102,uberon_4000164
zdb-gene-030131-7696	wrb	ensdarg00000074271	uberon_0003926,uberon_0001846,uberon_0000019,uberon_0000480,uberon_0004119,uberon_0000468,uberon_0001790,uberon_0000033,uberon_0001787,uberon_0006860,uberon_0000957
zdb-gene-070117-294	unm_ty5	not_found	uberon_2001232,uberon_0001708,uberon_2001230,uberon_2001231,uberon_0008823,uberon_0000019,uberon_2001229,uberon_2001228,uberon_0011610,uberon_0000480,uberon_0000477,uberon_0011615,uberon_0005886,uberon_0004119,uberon_0013765,uberon_0005884
zdb-gene-070117-295	unm_te252	not_found	uberon_0000467,uberon_0001774,uberon_0000479,uberon_0004120,uberon_0000480,uberon_0000468,uberon_0004479,uberon_0003082
zdb-gene-070117-296	unm_ta53b	not_found	uberon_0008823,uberon_0000019,uberon_0000480,uberon_0000468,uberon_0001945,uberon_0000033,uberon_0002037,uberon_0010313,uberon_0001016
zdb-gene-070117-290	unm_ts40	not_found	uberon_0001708,uberon_0000477,uberon_0008823,uberon_0000019,uberon_0001891,uberon_0000480,uberon_0001049,uberon_0001945,uberon_0000033,uberon_0001016,uberon_0001017
zdb-gene-070117-291	unm_m490	not_found	uberon_0000480,uberon_0000477,uberon_0002280,uberon_0000463,uberon_0001846
zdb-gene-070117-292	unm_m697	not_found	uberon_0000061
zdb-gene-070117-293	unm_m150	not_found	uberon_0000477,uberon_0001846,uberon_0002280,uberon_0000480,uberon_0001032,uberon_0000463
zdb-gene-070117-299	unm_tm15	not_found	uberon_0000061
zdb-gene-000125-4	dlc	ensdarg00000002336	uberon_0005598,uberon_0003513,uberon_0003524,uberon_0000481,uberon_0000178,uberon_0015178,uberon_0006984,uberon_0007812,uberon_0014907,uberon_0012275
zdb-gene-050521-1	nxt2	ensdarg00000061527	uberon_0000489,uberon_0000948
zdb-gene-030131-5188	espl1	ensdarg00000075354	uberon_0000480,uberon_0000468,uberon_0000033,uberon_0007812,uberon_0010314,uberon_0001016
zdb-gene-030131-6560	boc	ensdarg00000074335	uberon_0003931,uberon_0005945,uberon_0003936,uberon_0001890,uberon_0000480,uberon_0000936,uberon_0003103,uberon_0000468,uberon_0015212,uberon_0003278,uberon_2001256,uberon_0001785,uberon_0004119,uberon_0007812,uberon_0000941,uberon_0002196,uberon_0002100
zdb-gene-070922-1	egf	ensdarg00000052739	uberon_0004119,uberon_0003406,uberon_0003107,uberon_2001516,uberon_0003103
zdb-gene-070117-128	unm_tm110a	not_found	uberon_0000468
zdb-gene-070426-2	mko	not_found	uberon_0007276,uberon_0000477,uberon_2000676,uberon_0001846,uberon_2000530,uberon_0000073,uberon_0000151,uberon_0000480,uberon_0000463,uberon_0003102,uberon_0004120,uberon_2000558,uberon_2000168
zdb-gene-990415-163	mef2aa	ensdarg00000031756	uberon_0005598,uberon_0000489,uberon_2001089,uberon_0012275,uberon_0009621,uberon_0000948,uberon_0007812,uberon_0002082,uberon_0003901,uberon_0002081
zdb-gene-990415-168	ntn1b	ensdarg00000022531	uberon_0000966
