function	number_of_genes	ROC_auc	PR_auc
uberon_0000475	271	0.547961048	0.05495407
uberon_0003077	11	0.671822525	0.016443379
uberon_0000477	556	0.568066172	0.142732779
uberon_0000476	2	0.493208829	0.000424088
uberon_0002309	14	0.739689626	0.104738026
uberon_0000473	27	0.652636054	0.043398537
uberon_0010135	13	0.660127048	0.012667855
uberon_0011085	26	0.475511073	0.002120441
uberon_0000479	412	0.597447796	0.158277221
uberon_0000478	5	0.49277825	0.000848176
uberon_0002302	9	0.673565661	0.013794978
uberon_0009120	1	0.499151464	0.000212044
uberon_2000555	2	0.497877759	0.000424088
uberon_2001137	2	0.497877759	0.000424088
uberon_2005341	1	0.49427238	0.000212044
uberon_0009124	3	0.993527165	0.032950139
uberon_0009125	3	0.490237691	0.000424088
uberon_0009127	4	0.487255735	0.000848176
uberon_2000657	5	0.489167375	0.000848176
uberon_2005346	1	0.490878235	0.000212044
uberon_0014907	192	0.5632736	0.077337325
uberon_2000558	9	0.759281765	0.024829674
uberon_0002090	11	0.495962601	0.001060221
uberon_0014903	9	0.593670213	0.011628886
uberon_0000078	79	0.659596095	0.066400029
uberon_2001518	7	0.478538037	0.001060221
uberon_0001976	4	0.856149108	0.028874011
uberon_0009622	5	0.535741606	0.002824461
uberon_0000073	178	0.639838353	0.079997673
uberon_0003087	3	0.481960951	0.000424088
uberon_0000077	44	0.70534823	0.04708914
uberon_0006877	1	0	0
uberon_0002397	13	0.565332198	0.014821122
uberon_0002394	4	0.48450764	0.000424088
uberon_0002390	3	0.494904459	0.000636132
uberon_0000178	90	0.691082777	0.134202615
uberon_0000179	2	0.499575552	0.000424088
uberon_0005387	6	0.488747346	0.000636132
uberon_0003481	16	0.595075573	0.018256443
uberon_0016554	1	0	0
uberon_0011215	5	0.695707607	0.14637346
uberon_0007297	2	0.488752122	0.000424088
uberon_0002633	7	0.481717687	0.001272265
uberon_0011606	12	0.610106383	0.155741351
uberon_0011607	44	0.711932225	0.052403991
uberon_0001948	27	0.692783336	0.062824135
uberon_0008897	98	0.709817597	0.075848495
uberon_0008896	62	0.595841351	0.036297001
uberon_0008895	38	0.650714119	0.04156465
uberon_0008894	1	0.492999576	0.000212044
uberon_0009621	7	0.866340841	0.020631531
uberon_2005222	5	0.494904459	0.000636132
uberon_2000358	2	0.495755518	0.000424088
uberon_2001188	1	0.49893933	0.000212044
uberon_2000422	4	0.732476636	0.030025418
uberon_2001229	28	0.491925202	0.001060221
uberon_2001228	30	0.473840919	0.001484309
uberon_2005025	72	0.611161102	0.052001301
uberon_2000913	1	0.499363598	0.000212044
uberon_2000814	2	0.481960951	0.000424088
uberon_2005021	4	0.487898089	0.000636132
uberon_2005020	17	0.546771507	0.008392539
uberon_2001813	1	0.492151039	0.000212044
uberon_0001904	2	0.498302927	0.000212044
uberon_0001277	25	0.617571676	0.015212269
uberon_0001902	1	0.49533305	0.000212044
uberon_0001579	3	0.498089983	0.000424088
uberon_0001577	3	0.494482173	0.000424088
uberon_0001908	7	0.745712868	0.44825518
uberon_0001909	5	0.485768904	0.000848176
uberon_0007276	9	0.695874096	0.034803939
uberon_0007274	6	0.487473461	0.000636132
uberon_0007275	7	0.734441376	0.022667434
uberon_0007271	2	0.5	0.000212044
uberon_0001727	2	0.491514637	0.000212044
uberon_0018674	1	0	0
uberon_2001280	5	0.473237043	0.000848176
uberon_0001945	143	0.629061558	0.084197175
uberon_2000106	204	0.747992039	0.313108845
uberon_0001359	2	0.499787866	0.000212044
uberon_2007024	2	0.490029699	0.000212044
uberon_2007026	1	0.499151464	0.000212044
uberon_2001456	10	0.600957447	0.021758883
uberon_2007023	1	0	0
uberon_0002212	2	0	0
uberon_2001357	2	0.477504244	0.000424088
uberon_2007029	3	0.48917657	0.000424088
uberon_2007028	2	0.492572156	0.000424088
uberon_0002827	6	0.486836518	0.000636132
uberon_0001759	7	0.652848639	0.240048857
uberon_2005295	2	0.496604414	0.000424088
uberon_2002244	1	0.498727196	0.000212044
uberon_2005319	1	0	0
uberon_2001922	1	0.492151039	0.000212044
uberon_0009910	1	0	0
uberon_0002289	29	0.602158312	0.068613056
uberon_0002285	3	0.494269949	0.000424088
uberon_0002286	7	0.485325393	0.001484309
uberon_0002287	1	0	0
uberon_0002280	172	0.515239351	0.039475089
uberon_0007383	10	0.490858844	0.001272265
uberon_0007380	48	0.993627867	0.169010121
uberon_0004879	7	0.61997934	0.012931737
uberon_0003238	4	0.823779193	0.034563495
uberon_0005884	69	0.718819504	0.113237445
uberon_0005377	2	0.497030123	0.000212044
uberon_2000074	1	0.498727196	0.000212044
uberon_2000073	3	0.488539898	0.000424088
uberon_2000072	3	0.492147708	0.000424088
uberon_2000175	15	0.709452259	0.030703215
uberon_0014371	2	0.486842105	0.000424088
uberon_0019258	3	0.498515062	0.000212044
uberon_0012463	10	0.753321976	0.023517577
uberon_0010227	4	0.484706882	0.000848176
uberon_0003457	70	0.676108583	0.067682038
uberon_0010078	2	0.491298812	0.000424088
uberon_0010170	25	0.536847104	0.017453629
uberon_0002342	26	0.528453455	0.017554901
uberon_0002346	18	0.628268195	0.021482632
uberon_0002349	18	0.606642611	0.017910822
uberon_0002348	4	0.843935854	0.017157405
uberon_0007124	1	0.499575732	0.000212044
uberon_0007125	1	0.499575732	0.000212044
uberon_0007122	1	0.485574883	0.000212044
uberon_0007123	1	0.488120492	0.000212044
uberon_0007653	1	0.497878659	0.000212044
uberon_0002198	1	0.495757319	0.000212044
uberon_0002199	51	0.514056696	0.015951013
uberon_2000610	20	0.839620917	0.184568577
uberon_2001076	10	0.4620954	0.002120441
uberon_0012316	7	0.475563111	0.001060221
uberon_0002192	3	0.488539898	0.000424088
uberon_0005181	60	0.534145361	0.034611462
uberon_2002145	1	0.495757319	0.000212044
uberon_0002196	12	0.632530548	0.073599399
uberon_0001648	1	0.495757319	0.000212044
uberon_0003931	49	0.748549954	0.128757339
uberon_0003930	4	0.497239915	0.000636132
uberon_0003933	27	0.568397737	0.009777735
uberon_0003932	10	0.638877074	0.138577227
uberon_2001588	1	0.499575732	0.000212044
uberon_0003934	1	0.496605855	0.000212044
uberon_0006876	2	0.496817989	0.000212044
uberon_2001586	1	0	0
uberon_0005777	5	0.494692144	0.000636132
uberon_0002049	11	0.535796422	0.005664849
uberon_0002518	13	0.713599566	0.017501183
uberon_0005805	58	0.717101593	0.066509267
uberon_0002514	58	0.725063403	0.082771555
uberon_0003462	6	0.477688058	0.001060221
uberon_0002513	17	0.462702472	0.002544529
uberon_0001898	17	0.602450024	0.039067224
uberon_0001899	3	0.993630573	0.059035574
uberon_2000318	20	0.605996049	0.048760727
uberon_2000250	35	0.716339261	0.059064823
uberon_0000489	1122	0.56812639	0.29859904
uberon_0012481	1	0.48748409	0.000212044
uberon_0003923	4	0.738636364	0.044421979
uberon_0001890	128	0.724923178	0.086074432
uberon_0000485	5	0.776965576	0.025614112
uberon_0001892	9	0.460851064	0.001696353
uberon_0001893	40	0.69785991	0.058243806
uberon_0000480	1897	0.61196144	0.533701944
uberon_0000481	367	0.555228793	0.128899967
uberon_0000482	12	0.491712707	0.001060221
uberon_0001897	1	0	0
uberon_2000465	4	0.492993631	0.000636132
uberon_0001840	44	0.553904376	0.021404753
uberon_0007831	6	0.635274943	0.010052567
uberon_2000462	3	0.494482173	0.000424088
uberon_2000508	1	0	0
uberon_0008998	24	0.669139624	0.018342364
uberon_2000468	5	0.736406117	0.023963974
uberon_0009122	2	0.993421053	0.032950139
uberon_2000660	1	0.49893933	0.000212044
uberon_0004058	11	0.763279883	0.275169964
uberon_0001943	11	0.740788042	0.030263971
uberon_0003925	2	0.494269949	0.000424088
uberon_0014892	37	0.531629368	0.069103258
uberon_0001944	2	0.998938879	0.146045377
uberon_0014891	12	0.666888298	0.051103035
uberon_0005507	11	0.725638842	0.073103328
uberon_0000004	4	0.482809847	0.000424088
uberon_0001535	2	0.499575732	0.000212044
uberon_0000007	6	0.688355291	0.08841391
uberon_0006334	13	0.449105622	0.002120441
uberon_0006847	1	0.493635978	0.000212044
uberon_0011778	6	0.737209467	0.172756142
uberon_0011779	2	0.497453311	0.000424088
uberon_0001434	104	0.615600691	0.038820581
uberon_0005057	373	0.670757294	0.292032309
uberon_0001092	1	0.495120916	0.000212044
uberon_0004906	40	0.58881391	0.01777543
uberon_2005126	2	0.481960951	0.000424088
uberon_0001095	2	0.498938879	0.000424088
uberon_0001645	11	0.497451147	0.000848176
uberon_0001644	4	0.489592184	0.000848176
uberon_0001647	5	0.478963026	0.001060221
uberon_0001769	6	0.490874363	0.000424088
uberon_0001643	3	0.497452229	0.000636132
uberon_0008229	6	0.849458369	0.021342738
uberon_0004743	1	0.499151464	0.000212044
uberon_2000225	7	0.647250567	0.01644281
uberon_3000961	2	0.946095076	0.009140616
uberon_2001313	1	0.498090793	0.000212044
uberon_2001314	2	0.49639219	0.000424088
uberon_0003685	1	0.492151039	0.000212044
uberon_2001316	1	0	0
uberon_0001797	1	0.497666525	0.000212044
uberon_0001796	2	0.497666525	0.000212044
uberon_0001795	21	0.632834758	0.015621482
uberon_0001794	1	0.49427238	0.000212044
uberon_0003566	3	0.487898089	0.000636132
uberon_0001792	35	0.643117719	0.047474407
uberon_2001256	6	0.887930302	0.061101551
uberon_2001257	4	0.490662139	0.000424088
uberon_0004732	2	0.494057725	0.000424088
uberon_0004221	2	0.992147708	0.049454468
uberon_0004731	1	0.495969453	0.000212044
uberon_0009955	1	0.499787866	0.000212044
uberon_0003116	2	0.495118846	0.000424088
uberon_0003115	3	0.49447983	0.000636132
uberon_0003114	4	0.493203059	0.000848176
uberon_2000983	1	0.498727196	0.000212044
uberon_2000982	1	0.498727196	0.000212044
uberon_2000981	1	0.498727196	0.000212044
uberon_2000980	1	0.498727196	0.000212044
uberon_2001841	4	0.972015718	0.022406172
uberon_0001997	15	0.479379252	0.001272265
uberon_0002240	95	0.567135989	0.039359621
uberon_0002241	14	0.76122478	0.128695578
uberon_0002244	3	0.490021231	0.000636132
uberon_0003704	26	0.687653293	0.08995131
uberon_0003843	1	0.499787866	0.000212044
uberon_0003846	2	0.497665535	0.000424088
uberon_0001007	9	0.634785488	0.048786054
uberon_0000992	14	0.82965322	0.150187678
uberon_0001003	71	0.550418238	0.090591884
uberon_0000948	646	0.586071719	0.254364173
uberon_0006984	59	0.69816113	0.095845559
uberon_2000033	20	0.587211785	0.014909777
uberon_0000946	6	0.482173175	0.000424088
uberon_0000941	54	0.691760958	0.058442195
uberon_0001008	4	0.492569002	0.000636132
uberon_2000356	2	1	0.000424088
uberon_2000136	1	0.485574883	0.000212044
uberon_2001406	2	0	0
uberon_0004124	3	0.49533107	0.000424088
uberon_2000488	5	0.497665535	0.000424088
uberon_0004120	679	0.548420281	0.132183
uberon_2002215	6	0.494267516	0.000636132
uberon_0016631	1	0.499363598	0.000212044
uberon_2005245	1	0.499363598	0.000212044
uberon_0004128	16	0.562322393	0.011114087
uberon_0007690	8	0.647888322	0.098923144
uberon_0003052	146	0.675427512	0.175626137
uberon_0006065	4	0.49617672	0.000848176
uberon_0002541	8	0.492565845	0.000848176
uberon_0002540	1	0.495969453	0.000212044
uberon_0006068	14	0.609361702	0.378772265
uberon_0014764	27	0.576380225	0.037047293
uberon_0003050	12	0.473818646	0.001908397
uberon_0003011	18	0.686647235	0.051896001
uberon_0001791	26	0.652586751	0.024636016
uberon_0001790	22	0.654730403	0.036369406
uberon_0001231	5	0.465575861	0.001060221
uberon_0011362	26	0.559021842	0.026746472
uberon_2000727	1	0.498727196	0.000212044
uberon_2000726	2	0.49278438	0.000424088
uberon_2000725	2	0.49278438	0.000424088
uberon_0005723	1	0	0
uberon_0005305	7	0.470438111	0.001484309
uberon_0003112	1	0	0
uberon_0005309	1	0.497878659	0.000212044
uberon_2000040	36	0.735001533	0.202386416
uberon_2000728	5	0.818259023	0.022313831
uberon_0015212	67	0.587534592	0.032269789
uberon_0003069	29	0.892028546	0.15715083
uberon_0003068	5	0.489804588	0.000848176
uberon_0002064	17	0.459752981	0.002120441
uberon_0003063	21	0.676507597	0.106683475
uberon_0003062	19	0.621256356	0.052095806
uberon_0010313	696	0.556275908	0.146497526
uberon_0010312	11	0.477669077	0.001484309
uberon_0002165	11	0.597712766	0.02209792
uberon_0019267	1	0	0
uberon_0003065	9	0.594946809	0.013319423
uberon_0003064	2	0.499787866	0.000212044
uberon_0005498	5	0.490021231	0.000636132
uberon_0005499	1	0.486211286	0.000212044
uberon_0005945	29	0.479287853	0.015296432
uberon_2005010	3	0.480042463	0.000636132
uberon_0005492	6	0.490870488	0.000636132
uberon_0003070	2	0.487696224	0.000212044
uberon_0005497	1	0	0
uberon_2005409	4	0.830290163	0.132738043
uberon_0010534	1	0.497878659	0.000212044
uberon_2000544	1	0.483877811	0.000212044
uberon_2000622	3	0.495329087	0.000636132
uberon_2000623	1	0.498727196	0.000212044
uberon_0004461	2	0.499787866	0.000212044
uberon_0004467	3	0.499575552	0.000424088
uberon_2000058	12	0.603643617	0.086253282
uberon_0000044	18	0.670559291	0.018275548
uberon_0004739	56	0.600635209	0.060350804
uberon_0000042	675	0.611931535	0.334099563
uberon_0003831	24	0.672946963	0.030678919
uberon_0000167	3	0.495967742	0.000424088
uberon_0000165	40	0.58881391	0.01777543
uberon_0003071	8	0.599440967	0.007662781
uberon_0000162	5	0.475350616	0.001060221
uberon_0000160	59	0.631630473	0.040140273
uberon_0005425	6	0.792690183	0.10166268
uberon_0003412	1	0.497454391	0.000212044
uberon_0006800	142	0.689591347	0.17972271
uberon_0005426	4	0.482582838	0.000848176
uberon_0005421	4	0.480671198	0.000848176
