function	number_of_genes	ROC_auc	PR_auc	name
uberon_0000475	271	0.547961048	0.05495407	organism_subdivision
uberon_0003077	11	0.671822525	0.016443379	paraxial_mesoderm
uberon_0000477	556	0.568066172	0.142732779	anatomical_cluster
uberon_0002309	14	0.739689626	0.104738026	medial_longitudinal_fasciculus
uberon_0000473	27	0.652636054	0.043398537	testis
uberon_0010135	13	0.660127048	0.012667855	sensory_circumventricular_organ
uberon_0011085	26	0.475511073	0.002120441	palatoquadrate_arch
uberon_0000479	412	0.597447796	0.158277221	tissue
uberon_0014907	192	0.5632736	0.077337325	intersomitic_vessel
uberon_0002090	11	0.495962601	0.001060221	postcranial_axial_skeleton
uberon_0000078	79	0.659596095	0.066400029	mixed_ectoderm/mesoderm/endoderm-derived_structure
uberon_0000073	178	0.639838353	0.079997673	regional_part_of_nervous_system
uberon_0000077	44	0.70534823	0.04708914	mixed_endoderm/mesoderm-derived_structure
uberon_0002397	13	0.565332198	0.014821122	maxilla
uberon_0000178	90	0.691082777	0.134202615	blood
uberon_0003481	16	0.595075573	0.018256443	tail_vein
uberon_0011606	12	0.610106383	0.155741351	hyomandibular_bone
uberon_0011607	44	0.711932225	0.052403991	hyomandibular_cartilage
uberon_0001948	27	0.692783336	0.062824135	regional_part_of_spinal_cord
uberon_0008897	98	0.709817597	0.075848495	fin
uberon_0008896	62	0.595841351	0.036297001	post-hyoid_pharyngeal_arch
uberon_0008895	38	0.650714119	0.04156465	splanchnocranium
uberon_2001229	28	0.491925202	0.001060221	pharyngeal_arch_7_skeleton
uberon_2001228	30	0.473840919	0.001484309	pharyngeal_arch_3_skeleton
uberon_2005025	72	0.611161102	0.052001301	dorsal_longitudinal_anastomotic_vessel
uberon_2005020	17	0.546771507	0.008392539	central_artery
uberon_0001277	25	0.617571676	0.015212269	intestinal_epithelium
uberon_0001945	143	0.629061558	0.084197175	superior_colliculus
uberon_2000106	204	0.747992039	0.313108845	extension
uberon_2001456	10	0.600957447	0.021758883	pectoral_fin_endoskeletal_disc
uberon_0002289	29	0.602158312	0.068613056	midbrain_cerebral_aqueduct
uberon_0002280	172	0.515239351	0.039475089	otolith
uberon_0007383	10	0.490858844	0.001272265	enveloping_layer_of_ectoderm
uberon_0007380	48	0.993627867	0.169010121	dermal_scale
uberon_0005884	69	0.718819504	0.113237445	hyoid_arch_skeleton
uberon_2000175	15	0.709452259	0.030703215	posterior_lateral_line_nerve
uberon_0012463	10	0.753321976	0.023517577	cloacal_lumen
uberon_0003457	70	0.676108583	0.067682038	head_bone
uberon_0010170	25	0.536847104	0.017453629	region_of_neural_crest
uberon_0002342	26	0.528453455	0.017554901	neural_crest
uberon_0002346	18	0.628268195	0.021482632	neurectoderm
uberon_0002349	18	0.606642611	0.017910822	myocardium
uberon_0002199	51	0.514056696	0.015951013	integument
uberon_2000610	20	0.839620917	0.184568577	vertical_myoseptum
uberon_2001076	10	0.4620954	0.002120441	intestinal_bulb
uberon_0005181	60	0.534145361	0.034611462	thoracic_segment_organ
