genes	predicted_functions
plcb3	uberon_0000033:0.476598132906,uberon_0009124:0.0326743372958,uberon_0001944:0.0326743372958
tia1l	uberon_0000033:1.24788540045,uberon_0009124:0.00114423749285,uberon_0001944:0.00114423749285
tuba8l3	uberon_0000033:0.436043947759,uberon_0009124:0.00635687496027,uberon_0001944:0.00635687496027
lta4h	uberon_0000033:0.306147098087,uberon_0009124:0.00101709999364,uberon_0001944:0.00101709999364
apoc2	uberon_0000033:0.650562583434,uberon_0009124:0.00216133748649,uberon_0001944:0.00216133748649
ret	uberon_0001944:85.4058868194,uberon_0000033:0.702829641219,uberon_0009124:0.0114423749285
tnnc1a	uberon_0000033:0.63974069204,uberon_0009124:0.00724683745471,uberon_0001944:0.00724683745471
ttc25	uberon_0000033:3.41758778348,uberon_0009124:0.000635687496027,uberon_0001944:0.000635687496027
vps51	uberon_0000033:0.114805161782,uberon_0009124:0.000381412497616,uberon_0001944:0.000381412497616
ttc27	uberon_0000033:167.523784693,uberon_0009124:0.00533977496663,uberon_0001944:0.00533977496663
gata4	uberon_0000033:3.34460310476,uberon_0009124:0.0164007373975,uberon_0001944:0.0164007373975
il10ra	uberon_0000033:0.229610323565,uberon_0009124:0.000762824995232,uberon_0001944:0.000762824995232
mep1a.1	uberon_0000033:0.153073549043,uberon_0009124:0.000508549996822,uberon_0001944:0.000508549996822
mep1a.2	uberon_0000033:0.0765367745216,uberon_0009124:0.000254274998411,uberon_0001944:0.000254274998411
rfc5	uberon_0000033:27.1404323174,uberon_0009124:0.00622973746106,uberon_0001944:0.00622973746106
auh	uberon_0000033:0.0292628836623,uberon_0009124:0.00394126247537,uberon_0001944:0.00394126247537
tnfaip3	uberon_0000033:0.649481914691,uberon_0009124:0.00216133748649,uberon_0001944:0.00216133748649
cylda	uberon_0000033:1.43083409856,uberon_0009124:0.00292416248172,uberon_0001944:0.00292416248172
tnfa	uberon_0000033:1.22748011708,uberon_0009124:0.0101709999364,uberon_0001944:0.0101709999364
tnfb	uberon_0000033:6.42467893142,uberon_0009124:0.0261903248363,uberon_0001944:0.0261903248363
bcl2l1	uberon_0001944:54.199942107,uberon_0000033:8.23541000199,uberon_0009124:0.0177992498888
lin7c	uberon_0000033:0.316107757971,uberon_0009124:0.00190706248808,uberon_0001944:0.00190706248808
mmp14b	uberon_0000033:23.9231144844,uberon_0009124:0.00444981247219,uberon_0001944:0.00444981247219
prmt1	uberon_0000033:32.2636927417,uberon_0009124:0.0101709999364,uberon_0001944:0.0101709999364
prmt5	uberon_0000033:2.82052413701,uberon_0009124:0.0101709999364,uberon_0001944:0.0101709999364
dlat	uberon_0000033:2.06649291208,uberon_0009124:0.00686542495709,uberon_0001944:0.00686542495709
